DISTRITO;Canton
Carmen;1
Merced;1
Hospital;1
Catedral;1
Zapote;1
San Francisco de Dos Rios;1
Uruca;1
Mata Redonda;1
Pavas;1
Hatillo;1
San Sebastian;1
Escazu;2
San Antonio;2
San Rafael;2
Desamparados;3
San Miguel;3
San Juan de Dios;3
San Rafael Arriba;3
San Antonio;3
Frailes;3
Patarra;3
San Cristobal;3
Rosario;3
Damas;3
San Rafael Abajo;3
Gravilias;3
Los Guido;3
Santiago;4
Mercedes Sur;4
Barbacoas;4
Grifo Alto;4
San Rafael;4
Candelarita;4
Desamparaditos;4
San Antonio;4
Chires;4
San Marcos;5
San Lorenzo;5
San Carlos;5
Aserri;6
Tarbaca;6
Vuelta de Jorco;6
San Gabriel;6
Legua;6
Monterrey;6
Salitrillos;6
Colon;7
Guayabo;7
Tabarcia;7
Piedras Negras;7
Picagres;7
Jaris;7
Quitirrisi;7
Guadalupe;8
San Francisco;8
Calle Blancos;8
Mata de Platano;8
Ipis;8
Rancho Redondo;8
Purral;8
Santa Ana;9
Salitral;9
Pozos;9
Uruca;9
Piedades;9
Brasil;9
Alajuelita;10
San Josecito;10
San Antonio;10
Concepcion;10
San Felipe;10
San Isidro;11
San Rafael;11
Dulce Nombre de Jesus;11
Patalillo;11
Cascajal;11
San Ignacio;12
Guaitil;12
Palmichal;12
Cangrejal;12
Sabanillas;12
San Juan;13
Cinco Esquinas;13
Anselmo Llorente;13
Leon XIII;13
Colima;13
San Vicente;14
San Jeronimo;14
La Trinidad;14
San Pedro;15
Sabanilla;15
Mercedes;15
San Rafael;15
San Pablo;16
San Pedro;16
San Juan de Mata;16
San Luis;16
Carara;16
Santa Maria;17
Jardin;17
Copey;17
Curridabat;18
Granadilla;18
Sanchez;18
Tirrases;18
San Isidro de El General;19
El General;19
Daniel Flores;19
Rivas;19
San Pedro;19
Platanares;19
Pejibaye;19
Cajon;19
Baru;19
Rio Nuevo;19
Paramo;19
La  Amistad;19
San Pablo;20
San Andres;20
Llano Bonito;20
San Isidro;20
Santa Cruz;20
San Antonio;20
Alajuela;21
San Jose;21
Carrizal;21
San Antonio;21
Guacima;21
San Isidro;21
Sabanilla;21
San Rafael;21
Rio Segundo;21
Desamparados;21
Turrucares;21
Tambor;21
Garita;21
Sarapiqui;21
San Ramon;22
Santiago;22
San Juan;22
Piedades Norte;22
Piedades Sur;22
San Rafael;22
San Isidro;22
Ángeles;22
Alfaro;22
Volio;22
Concepcion;22
Zapotal;22
Peñas Blancas;22
San Lorenzo;23
Grecia;23
San Isidro;23
San Jose;23
San Roque;23
Tacares;23
Puente de Piedra;23
Bolivar;23
San Mateo;24
Desmonte;24
Jesus Maria;24
Labrador;24
Atenas;25
Jesus;25
Mercedes;25
San Isidro;25
Concepcion;25
San Jose;25
Santa Eulalia;25
Escobal;25
Naranjo;26
San Miguel;26
San Jose;26
Cirri Sur;26
San Jeronimo;26
San Juan;26
El Rosario;26
Palmitos;26
Palmares;27
Zaragoza;27
Buenos Aires;27
Santiago;27
Candelaria;27
Esquipulas;27
La Granja;27
San Pedro;28
San Juan;28
San Rafael;28
Carrillos;28
Sabana Redonda;28
Orotina;29
El Mastate;29
Hacienda Vieja;29
Coyolar;29
La Ceiba;29
Quesada;30
Florencia;30
Buenavista;30
Aguas Zarcas;30
Venecia;30
Pital;30
La Fortuna;30
La Tigra;30
La Palmera;30
Venado;30
Cutris;30
Monterrey;30
Pocosol;30
Zarcero;31
Laguna;31
Tapesco;31
Guadalupe;31
Palmira;31
Zapote;31
Brisas;31
Sarchi Norte;32
Sarchi Sur;32
Toro Amarillo;32
San Pedro;32
Rodriguez;32
Upala;33
Aguas Claras;33
San Jose O Pizote;33
Bijagua;33
Delicias;33
Dos Rios;33
Yolillal;33
Canalete;33
Los Chiles;34
Caño Negro;34
El Amparo;34
San Jorge;34
San Rafael;35
Buenavista;35
Cote;35
Katira;35
Oriental;36
Occidental;36
Carmen;36
San Nicolas;36
Aguacaliente o San Francisco;36
Guadalupe o Arenilla;36
Corralillo;36
Tierra Blanca;36
Dulce Nombre;36
Llano Grande;36
Quebradilla;36
Paraiso;37
Santiago;37
Orosi;37
Cachi;37
Llanos de Santa Lucia;37
Birrisito;37
Tres Rios;38
San Diego;38
San Juan;38
San Rafael;38
Concepcion;38
Dulce Nombre;38
San Ramon;38
Rio Azul;38
Juan Viñas;39
Tucurrique;39
Pejibaye;39
Turrialba;40
La Suiza;40
Peralta;40
Santa Cruz;40
Santa Teresita;40
Pavones;40
Tuis;40
Tayutic;40
Santa Rosa;40
Tres Equis;40
La Isabel;40
Chirripo;40
Pacayas;41
Cervantes;41
Capellades;41
San Rafael;42
Cot;42
Potrero Cerrado;42
Cipreses;42
Santa Rosa;42
El Tejar;43
San Isidro;43
Tobosi;43
Patio de Agua;43
Heredia;44
Mercedes;44
San Francisco;44
Ulloa;44
Varablanca;44
Barva;45
San Pedro;45
San Pablo;45
San Roque;45
Santa Lucia;45
San Jose de la Montaña;45
Santo Domingo;46
San Vicente;46
San Miguel;46
Paracito;46
Santo Tomas;46
Santa Rosa;46
Tures;46
Para;46
Santa Barbara;47
San Pedro;47
San Juan;47
Jesus;47
Santo Domingo;47
Puraba;47
San Rafael;48
San Josecito;48
Santiago;48
Ángeles;48
Concepcion;48
San Isidro;49
San Jose;49
Concepcion;49
San Francisco;49
San Antonio;50
La Ribera;50
La Asuncion;50
San Joaquin;51
Barrantes;51
Llorente;51
San Pablo;52
Rincon de Sabanilla;52
Puerto Viejo;53
La Virgen;53
Las Horquetas;53
Llanuras del Gaspar;53
Cureña;53
Liberia;54
Cañas Dulces;54
Mayorga;54
Nacascolo;54
Curubande;54
Nicoya;55
Mansion;55
San Antonio;55
Quebrada Honda;55
Samara;55
Nosara;55
Belen de Nosarita;55
Santa Cruz;56
Bolson;56
Veintisiete de Abril;56
Tempate;56
Cartagena;56
Cuajiniquil;56
Diria;56
Cabo Velas;56
Tamarindo;56
Bagaces;57
La Fortuna;57
Mogote;57
Rio Naranjo;57
Filadelfia;57
Palmira;57
Sardinal;57
Belen;57
Cañas;59
Palmira;59
San Miguel;59
Bebedero;59
Porozal;59
Las Juntas;60
Sierra;60
San Juan;60
Colorado;60
Tilaran;61
Quebrada Grande;61
Tronadora;61
Santa Rosa;61
Libano;61
Tierras Morenas;61
Arenal;61
Cabeceras;61
Carmona;62
Santa Rita;62
Zapotal;62
San Pablo;62
Porvenir;62
Bejuco;62
La Cruz;63
Santa Cecilia;63
La Garita;63
Santa Elena;63
Hojancha;64
Monte Romo;64
Puerto Carrillo;64
Huacas;64
Matambu;64
Puntarenas;65
Pitahaya;65
Chomes;65
Lepanto;65
Paquera;65
Manzanillo;65
Guacimal;65
Barranca;65
Isla del Coco;65
Cobano;65
Chacarita;65
Chira;65
Acapulco;65
El Roble;65
Arancibia;65
Espiritu Santo;66
San Juan Grande;66
Macacona;66
San Rafael;66
San Jeronimo;66
Caldera;66
Buenos Aires;67
Volcan;67
Potrero Grande;67
Boruca;67
Pilas;67
Colinas;67
Changuena;67
Biolley;67
Brunka;67
Miramar;68
La Union;68
San Isidro;68
Puerto Cortes;69
Palmar;69
Sierpe;69
Bahia Ballena;69
Piedras Blancas;69
Bahia Drake;69
Quepos;70
Savegre;70
Naranjito;70
Golfito;71
Puerto Jimenez;71
Guaycara;71
Pavon;71
San Vito;72
Sabalito;72
Aguabuena;72
Limoncito;72
Pittier;72
Gutierrez Braun;72
Parrita;73
Corredor;74
La Cuesta;74
Canoas;74
Laurel;74
Jaco;75
Tarcoles;75
Lagunillas;75
Limon;76
Valle La Estrella;76
Rio Blanco;76
Matama;76
Guapiles;77
Jimenez;77
Rita;77
Roxana;77
Cariari;78
Colorado;78
La Colonia;78
Siquirres;78
Pacuarito;78
Florida;78
Germania;78
El Cairo;78
Alegria;78
Reventazon;78
Bratsi;79
Sixaola;79
Cahuita;79
Telire;79
Matina;80
Batan;80
Carrandi;80
Guacimo;81
Mercedes;81
Pocora;81
Rio Jimenez;81
Duacari;81
